deposit,1,1,563.6679
deposit,9,2,89.5473
deposit,11,3,630.2735
deposit,4,4,703.3417
deposit,16,5,1273.0951
deposit,11,6,1594.0397
deposit,16,7,3219.6422
deposit,16,8,1494.3457
deposit,14,9,65.7541
deposit,13,10,1272.8589
deposit,13,11,769.6031
deposit,1,12,404.0631
deposit,4,13,1778.4789
deposit,15,14,654.7509
deposit,17,15,1292.4061
deposit,16,16,1246.6569
deposit,15,17,395.7222
deposit,13,18,1050.2350
deposit,13,19,3147.2657
deposit,16,20,549.9000
deposit,17,21,781.3305
deposit,16,22,1912.4040
deposit,16,23,1904.5706
deposit,16,24,3586.6370
deposit,15,25,540.1651
deposit,18,26,1064.3714
deposit,11,27,739.8181
deposit,5,28,432.1030
deposit,11,29,617.1835
deposit,3,30,298.6594
deposit,10,31,572.3849
deposit,1,32,1554.7504
deposit,5,33,261.1859
deposit,9,34,226.4521
deposit,18,35,643.3624
deposit,11,36,272.2081
deposit,6,37,615.4146
deposit,16,38,1567.4227
deposit,5,39,356.4949
deposit,1,40,1433.0082
deposit,5,41,1068.6940
deposit,4,42,825.5451
deposit,11,43,946.8054
deposit,20,44,1022.7106
deposit,20,45,320.3260
deposit,16,46,3259.6766
deposit,11,47,942.9269
deposit,11,48,1775.7447
deposit,15,49,1619.5191
deposit,20,50,755.8224
deposit,15,51,1302.9750
withdrawal,16,52,1190.9089
dispute,16,46,
deposit,5,53,859.8261
deposit,11,54,775.9997
deposit,2,55,1876.8006
deposit,18,56,878.1308
deposit,10,57,345.8918
deposit,15,58,1332.2091
deposit,17,59,1066.3230
deposit,20,60,815.5454
deposit,3,61,180.5256
deposit,10,62,472.1918
deposit,20,63,240.0007
deposit,15,64,1328.3688
deposit,5,65,879.1159
deposit,5,66,876.5819
deposit,8,67,170.6180
deposit,6,68,372.1650
deposit,7,69,3885.1593
deposit,1,70,1744.7440
deposit,17,71,3195.9380
deposit,13,72,2532.2657
deposit,2,73,588.4615
deposit,9,74,105.1083
deposit,15,75,962.3453
deposit,16,76,2689.8298
deposit,11,77,1613.8614
deposit,3,78,246.4009
deposit,12,79,1190.3408
deposit,5,80,635.0656
deposit,15,81,475.5762
deposit,15,82,1828.2489
deposit,19,83,3790.2095
withdrawal,16,84,848.0376
deposit,16,85,1354.9854
deposit,15,86,1327.5910
deposit,3,87,738.6562
deposit,17,88,2571.3819
deposit,15,89,441.8898
deposit,5,90,313.8767
deposit,16,91,1036.3503
deposit,8,92,53.4271
deposit,12,93,664.8638
deposit,9,94,87.6878
deposit,18,95,2632.4448
dispute,15,58,
deposit,1,96,1142.4486
deposit,15,97,1552.9098
withdrawal,15,98,1879.1201
deposit,19,99,2116.8129
deposit,10,100,1415.9720
deposit,16,101,1633.3478
withdrawal,11,102,589.5817
deposit,13,103,2589.0634
deposit,4,104,688.7391
deposit,19,105,900.7921
deposit,13,106,2581.6022
deposit,4,107,303.8990
deposit,20,108,1005.3627
deposit,4,109,1056.4514
deposit,5,110,1206.4219
deposit,5,111,876.0687
dispute,11,77,
deposit,8,112,126.0885
deposit,5,113,291.6491
deposit,9,114,38.6835
resolve,16,46,
deposit,10,115,1139.1878
deposit,15,116,477.0379
dispute,5,113,
withdrawal,16,117,535.6089
deposit,11,118,1331.7212
deposit,20,119,842.1812
deposit,20,120,734.3301
withdrawal,11,121,419.8207
resolve,5,113,
